名稱,國家城市,服務性質,電話,負責人
台灣基督長老教會水源教會,台灣 - 新北市,教會,02-2648-6694,穌慧瑛 牧師
台灣基督長老教會水璉教會,台灣 - 花蓮縣,教會,03-860-1246,
台灣基督長老教會牛挑灣教會,台灣 - 嘉義縣,教會,05-369-1981,洪智信 牧師
台灣基督長老教會牛鬥教會,台灣 - 宜蘭縣,教會,"03-989-3727, 0935-405048",楊道明 牧師
台灣基督長老教會莎卡蘭教會,台灣 - 屏東縣,教會,08-795-6850,田天財 牧師
土牛神召會,台灣 - 台中市,教會,04-2587-3630,林何發
台灣基督長老教會土庫教會,台灣 - 雲林縣,教會,05-662-2711,許順德 牧師
台灣基督長老教會太平境馬雅各紀念教會,台灣 - 台南市,教會,06-228-2184,蕭恩澤 傳道師
台灣基督長老教會太爺教會,台灣 - 高雄市,教會,07-699-3164,郭仲晃 牧師
財團法人台中水湳基督長老教會,台灣 - 台中市,教會,04-2291-6614,林世杰 牧師
水湳聖教會,台灣 - 台中市,教會,04-2292-1232,溫台遠 傳道
水源聖教會,台灣 - 花蓮縣,教會,03-822-2830,王榮生
水漣聖教會,台灣 - 花蓮縣,教會,03-8526015,林德喜
台灣基督長老教會牛眠教會,台灣 - 南投縣,教會,049-293-2703,羅顯博 牧師
台灣基督長老教會王功教會,台灣 - 彰化縣,教會,04-893-4788,李玉霞 牧師
台灣基督長老教會口埤教會,台灣 - 台南市,教會,06-590-3228,李孝忠 牧師
台灣基督長老教會土城教會,台灣 - 新北市,教會,02-2266-0720,林伊驍 牧師
台灣基督長老教會士文教會,台灣 - 屏東縣,教會,08-879-0039,陳天財 牧師
士林承恩堂,台灣 - 台北市,教會,02-2836-3507,廖佳伸 牧師
台灣基督長老教會泰雅爾中會士林教會,台灣 - 苗栗縣,教會,037-96-2061,林以撒 牧師
士林聖教會,台灣 - 台北市,教會,02-2836-8290,謝明昇 牧師
大台灣基督長老教會山教會,台灣 - 台中市,教會,04-2691-5010,田榮貴 牧師
台灣基督長老教會大仁教會,台灣 - 高雄市,教會,07-726-6412,林鴻達 牧師
大台北基督的教會,台灣 - 台北市,教會,02-2934-8952,陳彼得
大甲靈糧堂,台灣 - 台中市,教會,04-2676-0072,馬傳旺 牧師
台灣基督長老教會大光教會（南布）,台灣 - 高雄市,教會,07-670-1502,周智雄 牧師
台灣基督長老教會大同教會（北中）,台灣 - 台北市,教會,02-2592-8989,吳建德 牧師
土壟浸信會,台灣 - 高雄市,教會,07-689-1054,楊子江 牧師
台灣基督長老教會士東教會,台灣 - 台北市,教會,02-2835-9712,蕭文德 牧師
台灣基督長老教會士林教會,台灣 - 台北市,教會,02-2881-2747,許承道 牧師
士林浸信會,台灣 - 台北市,教會,02-2833-0304,陳俊銘 牧師
士林錫安堂,台灣 - 台北市,教會,02-2835-6570,曹力中 牧師
台灣基督長老教會大山教會,台灣 - 花蓮縣,教會,03-826-2020,里安．達那比瑪 牧師
台灣基督長老教會大內教會,台灣 - 台南市,教會,06-576-1640,林晚生
台灣基督長老教會大甲教會,台灣 - 台中市,教會,04-2688-3210,洪英俊 牧師
台灣基督長老教會大光教會（南中）,台灣 - 台南市,教會,06-251-9670,蔡安祿 牧師
台灣基督長老教會大同村教會,台灣 - 台南市,教會,06-593-1730,
台灣基督長老教會大同教會（排中）,台灣 - 屏東縣,教會,08-732-8873,田聖恩 傳道師
台灣基督長老教會大安教會（東中）,台灣 - 花蓮縣,教會,03-870-1635,謝恩河 牧師
大安神召會,台灣 - 苗栗縣,教會,"037-96-2189, 0988-162-765",島佑優旻 傳道
台灣基督長老教會大竹教會,台灣 - 桃園市,教會,03-323-4499,陳世揚 牧師
大肚基督教神召會,台灣 - 台中市,教會,04-2699-3415,
台中城市之光聖教會,台灣 - 台中市,教會,04-2481-0511,陳嘉慧
台灣基督長老教會大林教會（高中）,台灣 - 高雄市,教會,07-669-1580,朱錫伍 牧師
台灣基督長老教會大武教會,台灣 - 台東縣,教會,089-792-280,林陳秀英 牧師
台灣基督長老教會大直教會,台灣 - 台北市,教會,"02-2532-5907 , 02-2532-6163",林憲懋 牧師
台灣基督長老教會大社教會,台灣 - 高雄市,教會,07-351-3907,翁世俊 牧師
台灣基督長老教會大同教會（南中）,台灣 - 台南市,教會,06-214-4041,賴信瀚 牧師
台灣基督長老教會大同教會（彰中）,台灣 - 彰化縣,教會,04-835-7780,宋元信 牧師
財團法人台灣基督長老教會大安教會（星中）,台灣 - 台北市,教會,02-2706-4477,陳文欽 牧師
大成浸信會,台灣 - 台中市,教會,04-2536-3975,李淑彬
台灣基督長老教會大肚教會,台灣 - 台中市,教會,04-2699-3415,陳建廷 牧師
台灣基督長老教會大里教會,台灣 - 台中市,教會,04-2406-0092,賴信頌 牧師
台灣基督長老教會大坪頂瑪喜樂紀念教會,台灣 - 南投縣,教會,049-293-0717,余振源 牧師
台灣基督長老教會大林教會（嘉中）,台灣 - 嘉義縣,教會,05-265-2321,陳瑞宇 牧師
財團法人台灣省台南市大武街基督教會,台灣 - 台南市,教會,06-252-2977,袁賓台 弟兄
大社基督長老教會,台灣 - 台中市,教會,04-2524-4204,陳怡伶 牧師
台灣基督長老教會大南教會,台灣 - 台東縣,教會,089-38-2902,陳玉美 傳道
台灣基督長老教會大城教會,台灣 - 彰化縣,教會,04-894-1459,林鴻榮 牧師
台灣基督長老教會大俱來教會,台灣 - 台東縣,教會,089-88-1028,曾德榮 牧師
台灣基督長老教會東河教會（東美）,台灣 - 台東縣,教會,089-896-563,
鎮海永愛教會,台灣 - 屏東縣,教會,08-738-5460,杜櫻珠 牧師
台灣基督長老教會大湖教會,台灣 - 高雄市,教會,0905-50-7756,姜雲柱
大湖基督教會,台灣 - 台北市,教會,02-2793-5242,李英智 長老
聖經浸禮教會大雅教會,台灣 - 台中市,教會,04-2568-6675,葛立恩 牧師
台灣基督長老教會大順教會,台灣 - 高雄市,教會,07-384-2452,謝智偉 牧師
台灣基督長老教會大園教會,台灣 - 桃園市,教會,03-386-2905,李純銘 牧師
大社基督喜信會,台灣 - 高雄市,教會,07-351-8884,姚綉花
台灣基督長老教會大南澳教會,台灣 - 宜蘭縣,教會,"03-998-4305, 03-998-1649",張興仁 牧師
台灣基督長老教會大洲教會,台灣 - 高雄市,教會,07-666-1230,張金玉 牧師
台灣基督長老教會大埔教會,台灣 - 嘉義縣,教會,05-252-1550,李王淑娟 牧師
台灣基督長老教會大崗教會,台灣 - 桃園市,教會,03-327-0264,謝文昌 牧師
台灣基督長老教會大鳥教會,台灣 - 台東縣,教會,089-791-498,拉娃告．拉歌拉格 牧師
大湖神召會,台灣 - 苗栗縣,教會,037-99-1570,謝淑貞 長老
台灣基督長老教會大雅教會,台灣 - 台中市,教會,04-2568-6848,賴玉麟 牧師
中華基督教磐石浸信會,台灣 - 台中市,教會,04-2560-3677,張柏盛
台灣基督長老教會大湳教會,台灣 - 南投縣,教會,049-298-5871,顏正豐 牧師
台灣基督長老教會大溪教會,台灣 - 台東縣,教會,089-761-986,謝孟君 傳道師
台灣基督長老教會大墩教會,台灣 - 台中市,教會,04-2475-1661,柯伊諾‧拉斌 牧師
台灣基督長老教會大稻埕教會,台灣 - 台北市,教會,02-2553-9741,謝大衛 牧師
台灣基督長老教會大橋教會,台灣 - 台北市,教會,02-2597-4784,葉榮生 牧師
大興神召會,台灣 - 苗栗縣,教會,037-99-4036,王淑芬
主耶穌之家,台灣 - 新北市,教會,02-9012561,程廷平
台灣基督長老教會主權教會,台灣 - 花蓮縣,教會,03-832-0456,Tamih(林介雲) 傳道師
以馬內利台福基督教會,台灣 - 台中市,教會,04-2371-0380,陳清志 牧師
以琳基督徒中心士林教會,台灣 - 台北市,教會,02-2835-1040,朱俊成 牧師
台灣基督長老教會加拉教會,台灣 - 桃園市,教會,03-391-2013,亞馥．誒宥 牧師
台灣基督長老教會大溪教會,台灣 - 桃園市,教會,03-388-8995,胡宏志 牧師
大溪浸信會,台灣 - 台東縣,教會,089-345-786,李金發 牧師
台灣基督長老教會大寮教會,台灣 - 高雄市,教會,07-781-5342,吳俊逸 牧師
台灣基督長老教會大樹教會,台灣 - 高雄市,教會,07-651-2025,陳淑安 牧師
台灣基督長老教會大橋教會（南中）,台灣 - 台南市,教會,06-201-4052,吳偉愿 牧師
台灣基督長老教會大灣教會,台灣 - 台南市,教會,06-271-7253,洪憲銘 牧師
主耶穌基督教會,台灣 - 台北市,教會,02-2378-5577,楊腓利
以馬內利浸信會,台灣 - 花蓮縣,教會,03-833-1813,王憲忠 牧師
以琳基督徒中心,台灣 - 台北市,教會,02-2651-1002,柯郭春花 牧師
台灣基督長老教會冬山教會,台灣 - 宜蘭縣,教會,03-959-3822,鄭忠仁 牧師
台灣基督長老教會加恩教會（嘉中）,台灣 - 嘉義市,教會,05-277-6341,蔡孟勳 牧師
台灣基督長老教會加拿美教會,台灣 - 台東縣,教會,089-334-737,吳樂育 牧師
台灣基督長老教會加禮洞教會,台灣 - 花蓮縣,教會,0930-752-011,高文成 牧師
台灣基督長老教會加灣教會,台灣 - 花蓮縣,教會,03-826-2876,張正祺 牧師
台灣基督長老教會北屯教會,台灣 - 台中市,教會,04-2234-6942,洪安逸 牧師
台灣基督長老教會北斗教會,台灣 - 彰化縣,教會,04-888-3306,陳國誠 牧師
台灣基督長老教會北投教會,台灣 - 台北市,教會,02-2894-0509,許慧聆 牧師
台灣基督長老教會北里教會,台灣 - 台東縣,教會,0989-581-114,林雅玲 牧師
台灣基督長老教會北門教會（南中）,台灣 - 台南市,教會,06-228-0229,鄭育智 牧師
台灣基督長老教會巴扶以善教會,台灣 - 花蓮縣,教會,"03-826-0865, 03-826-4463",阿星．阿曼 牧師
台灣基督長老教會加津林教會,台灣 - 台東縣,教會,089-761-569,陳泰和 牧師
台灣基督長老教會加拿教會,台灣 - 台東縣,教會,089-81-4528,胡阿男 牧師
台灣基督長老教會加樂教會,台灣 - 台東縣,教會,089-81-0780,江淑梅 傳道師
台灣基督長老教會加羅板教會,台灣 - 台東縣,教會,089-792-417,葉春美 牧師
加灣神召會,台灣 - 花蓮縣,教會,038-325024,高峻導
北屯浸信會,台灣 - 台中市,教會,04-2231-7366,
中華基督教行道會北投教會,台灣 - 台北市,教會,02-2891-6609,袁閏耀
北投基督徒聚會處,台灣 - 台北市,教會,02-2891-5314,黃銀河 弟兄
台灣基督長老教會北門教會（北中）,台灣 - 台北市,教會,02-2555-4483,陳宇全 牧師
台灣基督長老教會北門嶼教會,台灣 - 台南市,教會,06-786-2138,鄭睦迪 傳道
北埔聖教會,台灣 - 花蓮縣,教會,03-823-2725,羅政堯
台灣基督長老教會北源教會,台灣 - 台東縣,教會,089-891-660,谷浪．吉賀克 牧師
台灣基督長老教會北農教會,台灣 - 新北市,教會,02-8242-1691,劉定安 牧師
北興聚會,台灣 - 台中市,教會,04-2231-2102,
台灣基督長老教會可愛教會,台灣 - 桃園市,教會,03-382-2728,游玫花 牧師
台灣基督長老教會古亭教會,台灣 - 台北市,教會,02-2363-7040,陳思豪 牧師
台灣基督長老教會古風教會,台灣 - 花蓮縣,教會,03-884-6251,阿布絲．打給絲非來南 牧師
台灣基督長老教會古樓教會,台灣 - 屏東縣,教會,08-785-0431,
台灣基督長老教會司馬限教會,台灣 - 苗栗縣,教會,037-99-0487,游秀婷 傳道師
台中基督教會,台灣 - 台中市,教會,04-2242-9803,賴聖耀 牧師
台灣基督長老教會北埔教會,台灣 - 花蓮縣,教會,03-826-3111,胡志彊 牧師
台灣基督長老教會北港教會,台灣 - 雲林縣,教會,05-783-2380,李明晃 牧師
台灣基督長老教會北葉教會,台灣 - 屏東縣,教會,08-799-2664,左金男 牧師
台灣基督長老教會北榮教會,台灣 - 嘉義市,教會,05-224-4005,李豐盛 牧師
台灣基督長老教會北濱教會,台灣 - 花蓮縣,教會,03-832-3699,游淵文 牧師
台灣基督長老教會古林教會,台灣 - 嘉義縣,教會,05-370-0320,郭清文 傳道師
古亭聖教會,台灣 - 台北市,教會,02-2307-9527,黃立仁
台灣基督長老教會古華教會,台灣 - 屏東縣,教會,08-878-3276,周華南 牧師
台灣基督長老教會右昌教會,台灣 - 高雄市,教會,07-361-2242,陳見岳 牧師
台中基督徒聚會處,台灣 - 台中市,教會,04-2231-5274,程祖光 弟兄
基督教救恩之光教會,台灣 - 台中市,教會,04-2236-2238,張則義 牧師
台灣基督長老教會台中港教會,台灣 - 台中市,教會,04-2656-0053,曾安毅 傳道師
財團法人基督教台灣台中聖愛堂,台灣 - 台中市,教會,04-2315-0625,劉志展 牧師
台中福音基督教會,台灣 - 台中市,教會,04-2293-2388,
台中靈糧堂,台灣 - 台中市,教會,04-2470-0038,鍾世郁 牧師
台灣基督長老教會台北中正教會,台灣 - 台北市,教會,02-2501-9514,林君杰 傳道師
台北市召會十九會所,台灣 - 台北市,教會,02-2367-0040,
財團法人中華基督教行道會台北教會,台灣 - 台北市,教會,02-2721-3242,蔡垂德 牧師
台北新城市教會,台灣 - 台北市,教會,02-2764-1232,王道玥 牧師
台北真道教會,台灣 - 台北市,教會,02-2311-6767,廖文華 牧師
台中基督喜信會,台灣 - 台中市,教會,04-2280-2151、04-2280-3443、04-22810248,徐福村 牧師
台中第一神召會,台灣 - 台中市,教會,04-2222-5708,朴允錫
台中聖教會,台灣 - 台中市,教會,04-2223-3982,張豊裕 牧師
台中榮美基督教會,台灣 - 台中市,教會,04-2375-7035,羅劍保 牧師
台中錫安堂,台灣 - 台中市,教會,04-2310-1018,鄭大衛 牧師
台北小城基督教會,台灣 - 新北市,教會,02-2215-3527,黃蜜子
台北崇真堂,台灣 - 台北市,教會,02-2362-3251,劉正惠 牧師
台北市基督徒聚會,台灣 - 台北市,教會,02-8772-0321,衣立凡 弟兄
財團法人台北市基督教伯特利教會,台灣 - 台北市,教會,02-2781-9136,楊志輝 牧師
非拉鐵非台北教會,台灣 - 台北市,教會,02-2749-5677,韋慶元
財團法人台北神的教會,台灣 - 台北市,教會,02-2712-9220,鄭啟天 弟兄
台北國際教會(英語),台灣 - 台北市,教會,02-2833-7444,安立宇
台北基督徒七張禮拜堂,台灣 - 新北市,教會,02-2912-4484,周獻崇 長老
台北基督徒中和禮拜堂,台灣 - 新北市,教會,02-2949-7401,沈大為
台北基督徒永和禮拜堂,台灣 - 新北市,教會,02-2921-4000,黃彬 長老
台北基督徒北投禮拜堂,台灣 - 台北市,教會,02-2897-4694,林義順 長老
台北基督徒東湖禮拜堂,台灣 - 台北市,教會,02-2632-0178,張婷婷 傳道
台北基督徒松山禮拜堂,台灣 - 台北市,教會,02-2769-2551,忻紀民 長老
台北基督徒南京東路禮拜堂,台灣 - 台北市,教會,02-2567-0840,吳紹楨 長老
財團法人台北市基督徒聚會處,台灣 - 台北市,教會,02-2371-0952,呂允仁 長老
財團法人基督教台北神召會,台灣 - 台北市,教會,02-2595-4477,鄭詩君 牧師
台北純福音教會,台灣 - 台北市,教會,"02-2501-7478, 02-2502-3640",張漢業 牧師
台北基督四方教會,台灣 - 台北市,教會,02-2599-3732,戴禮翰 牧師
台北基督徒土城禮拜堂,台灣 - 新北市,教會,02-2266-1367,黃莘棠
財團法人民生社區禮拜堂,台灣 - 台北市,教會,02-2764-9475,王澤民
財團法人台北基督徒石牌禮拜堂,台灣 - 台北市,教會,02-2823-0333、02-2821-6407,李智舒 長老
台北基督徒明志禮拜堂,台灣 - 新北市,教會,02-2981-5105,謝瀚勳
財團法人台北基督徒林森南路禮拜堂,台灣 - 台北市,教會,02-2393-5542,李瀞淵
台北基督徒長春禮拜堂,台灣 - 台北市,教會,02-2508-1286,林棟樑 長老
台北基督徒康華禮拜堂,台灣 - 台北市,教會,02-6632-2227,余榮華
台北基督徒雙和禮拜堂,台灣 - 新北市,教會,02-2925-7438,黃子石
台北基督徒麗景禮拜堂,台灣 - 新北市,教會,02-2691-7228,郭志泰
台北基督徒蘭雅禮拜堂,台灣 - 台北市,教會,02-2835-8110,溫宏義 長老
台北基督教錫安堂,台灣 - 台北市,教會,02-2396-8308,鄔金隆
台北新生命小組教會,台灣 - 台北市,教會,02-2711-7275,顧其芸 牧師
淡水新希望教會,台灣 - 新北市,教會,0982-98-5298,張華盛
台北葡萄園基督教會,台灣 - 台北市,教會,02-27467781,
台北南區榮美基督教會,台灣 - 台北市,教會,02-2337-8231,游福源
台北韓國教會,台灣 - 台北市,教會,02-2560-5342,崔恩讚
台西基督教會,台灣 - 雲林縣,教會,05-698-3418,丁志明
台北基督徒禮拜堂,台灣 - 台北市,教會,02-2305-4870,許楓
台北基督徒麗山禮拜堂,台灣 - 台北市,教會,02-2627-7252,張世昭 長老
台北基督徒蘆洲禮拜堂,台灣 - 新北市,教會,"02-2283-1223, 02-2281-6700",羅金蓮 牧師
