醫療機構名稱,地址,電話,垂直整合策略聯盟/主責醫事機構,終止合約或歇業日期
儲昭仁耳鼻喉科診所,高雄市三民區九如一路854號1樓,07-3890470,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
董金山診所,高雄市三民區本武里大昌二路544號,07-3833405,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
婦全婦產科診所,高雄市三民區立德里建國三路517號,07-2728025,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
崇田耳鼻喉科診所,高雄市三民區建工路302號1樓,07-3899900,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
光暉診所,高雄市三民區新民路106號1樓,07-3907689,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
沈診所,高雄市左營區明誠二路210號,07-5569148,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
周玉祺診所,高雄市新興區六合路157號1樓和2樓,07-2262128,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
天健婦產科診所,高雄市鳳山區三民里光明路99號,07-7464570,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
祐幼小兒科診所,高雄市鳳山區文衡路377號一樓,07-7769977,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
德恩診所,高雄市鳳山區生明里王生明路133號,07-7194722,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院高醫_守護城鄉零距離合作團隊/財團法人私立高雄醫學大學附設中和紀念醫院,
黃旭瑞耳鼻喉科診所,高雄市三民區大昌二路482號,07-3802334,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
張倉銓診所,高雄市三民區大順二路183號,07-3808538,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
柳雱邁診所,高雄市三民區大順二路96號1樓,07-3895640,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
日安居家護理所,高雄市三民區大豐一路98號1－2樓,07-3920599,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
蔡仁正診所,高雄市三民區天祥一路200號1樓,07-3597493,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
一祥居家護理所,高雄市三民區民族一路732－1號2樓,07-3464221,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
健暘居家護理所,高雄市三民區民族一路80號33樓之4,07-3980238,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
橞安居家護理所,高雄市三民區光裕路78號,07-3852690,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
台灣受恩居家護理所,高雄市三民區明誠一路20號4樓,07-3494408,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
施宗賢皮膚科診所,高雄市三民區建工路618號1－2樓,07-3829996,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
鼎山診所,高雄市三民區鼎華路12號1～2樓,07-3824296,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
佳馨居家護理所,高雄市三民區壽昌路二八三號三樓之一,07-3834555,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
後驛診所,高雄市三民區察哈爾二街19號1樓,07-3134133,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
誠愛居家護理所,高雄市三民區覺民路196巷30弄3號1樓,07-3908941,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
富涵居家護理所,高雄市三民區灣復街42號1樓,07-3802282,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
蔡東隆診所,高雄市左營區富國路39號1樓,07-5567653,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
余國榮耳鼻咽喉科診所,高雄市前金區中華三路227號1樓,07-2167126,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
鄰好西醫診所,高雄市前鎮區民權二路180號2樓,07-3350802,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
家安診所,高雄市鼓山區明誠里裕誠路1515號,07-5541515,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
鄭紹茂診所,高雄市鳳山區五甲二路186號,07-7263828,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
張簡精神科診所,高雄市鳳山區老爺里五甲一路600號,07-7632048,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
錦明小兒科診所,高雄市鳳山區自強二路171號,07-7683688,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
呂忠勳診所,高雄市鳳山區南京路407號,07-7675176,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
王楩楠內兒科診所,高雄市鳳山區瑞竹里光遠路82號,07-7460334,高醫_分級醫療雙向轉診共同照護討/財團法人私立高雄醫學大學附設中和紀念醫院,
林子銘診所,屏東縣佳冬鄉石光村中山路154之4號,08-8668615,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
正輝耳鼻喉科診所,屏東縣東港鎮中正路159號,08-8353183,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
大愛診所,屏東縣東港鎮中正路一段66號,08-8310216,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
李安迪診所,屏東縣東港鎮光復路2段39號,08-8338542,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
林瑛豐兒科診所,屏東縣東港鎮朝隆路88號,08-8339868,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
陳永惠診所,屏東縣林邊鄉永樂村美華路35－1號,08-8752078,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
黃裕隆診所,屏東縣新埤鄉新埤村中正路113號,08-7972456,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
屏東縣新埤鄉衛生所,屏東縣新埤鄉新埤村中正路38號,08-7971090,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
趙致成診所,屏東縣新園鄉仙吉村仙吉路90－1號,08-8681236,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
林建樑診所,屏東縣新園鄉南興路325號,08-8329599,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
天醫診所,屏東縣萬丹鄉萬丹路一段40號,08-7772933,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
陳宗仁診所,屏東縣萬丹鄉萬全村萬丹路一段440號,08-7770066,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
屏東縣萬巒鄉衛生所,屏東縣萬巒鄉萬全村褒忠路14－2號,08-7811794,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
嘉德骨外科診所,屏東縣潮州鎮介壽路80號,08-7883160,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
蔡明峻診所,屏東縣潮州鎮永坤路126號,08-7806789,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
鄭天松診所,屏東縣潮州鎮愛國路2號,08-7898082,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
高雄市大寮區衛生所,高雄市大寮區永芳里進學路129巷2－1號,07-7816819,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
明港診所,高雄市小港區山明里華山路137號一樓、139號一樓,07-8055116,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,
民眾醫院附設居家護理所,屏東市忠孝路120之1號,08-7325455,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
屏東縣九如鄉衛生所,屏東縣九如鄉九如路二段247號,08-7392006,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
王天診所,屏東縣九如鄉九里路5號,08-7395256,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
沐民診所,屏東縣九如鄉九清村九如路二段189號,08-7396929,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
屏東縣三地門鄉衛生所,屏東縣三地門鄉三地村行政街4號,08-7991284,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
宋金峰家庭醫學科診所,屏東縣三地門鄉青山村民族巷52號,08-7964993,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
三地門鄉衛生所附設居家護理,屏東縣三地鄉三地村行政街4號,08-7991284,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
張文義診所,屏東縣內埔鄉內田村學人路707號,08-7783966,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
屏東縣內埔鄉衛生所,屏東縣內埔鄉內埔村中興路191號,08-7792414,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
佑青醫療財團法人佑青醫院,屏東縣內埔鄉建興村建興路218巷19號,08-7705115,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
美和學校財團法人美和科技大學附設居家護理所,屏東縣內埔鄉美和村屏光路23號,08-7799821,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
睿洋診所,屏東縣內埔鄉龍泉村中勝路395號,08-7702965,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
高雄榮民總醫院屏東分院附設居家護理所,屏東縣內埔鄉龍潭村昭勝路安平一巷1號,08-7704115,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
屏東縣竹田鄉衛生所,屏東縣竹田鄉竹田村中山路25號,08-7710445,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
莘翊居家護理所,屏東縣竹田鄉糶糴村振福路35-1號1樓,08-7711389,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
屏東縣牡丹鄉衛生所,屏東縣牡丹鄉石門村19號,08-8831013,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
屏東縣里港鄉衛生所,屏東縣里港鄉大平村中山路103–1號,08-7751711,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
普生診所,屏東縣里港鄉大平村中山路35號,08-7751188,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
溫富全診所,屏東縣里港鄉春林村永春路67號,08-7752283,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
文章診所,屏東縣里港鄉春林村里港路87號,08-7757077,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
佳和診所,屏東縣佳冬鄉佳冬村佳和路98之1號,08-8660445,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
屏東縣枋寮鄉衛生所,屏東縣枋寮鄉枋寮村德興路77號,08-8782940,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
枋寮醫療社團法人附設枋醫居家護理所,屏東縣枋寮鄉保安路128巷15號1樓,08-8780200,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
新仁愛診所,屏東縣東港鎮中山路23號,08-8322622,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
曾文洋內科小兒科診所,屏東縣東港鎮新勝里中山路16號,08-8331159,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
宏安內小兒科診所,屏東縣林邊鄉林邊村中林路114號,08-8752728,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
瑞光診所,屏東縣長治鄉香楊村瑞光路一段729號,08-7217515,屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院,
